date,id,tweet
Mon Dec 30 02:03:13 +0000 2019,72898202,#SanJose #Highway101 Northbound 87 before the 101 split—-A crash that damaged several feet of guardrail is blocking the two right lanes. #KCBSTraffic #Waze
Mon Dec 30 01:42:22 +0000 2019,72898202,#Amtrak #CapitolCorridor Delays on an eastbound Capitol Corridor Train. #KCBSTraffic
Sun Dec 29 21:42:58 +0000 2019,72898202,"#Vallejo Eastbound I-80 before American Canyon Rd., solo vehicle spinout hit and is blocking the center divider. #KCBSTraffic"
Sun Dec 29 21:40:36 +0000 2019,72898202,"#SanFrancisco Northbound Hwy 280 before Mariposa, solo vehicle spinout hitting the center divider is now blocking the left lane. #KCBSTraffic #Waze"
Sun Dec 29 21:31:42 +0000 2019,72898202,"#Oakland Eastbound Hwy 580 before Golf Links Rd., solo vehicle hit a tree and is on the right shoulder. Traffic is driving at the limit. #KCBSTraffic"
Sun Dec 29 21:24:55 +0000 2019,72898202,Drivetime: Westbound I-80 #Berkeley Gilman St. to Downtown San Francisco via #BayBridge is around 15 minutes. #KCBSTraffic
Sun Dec 29 21:19:28 +0000 2019,72898202,"#Petaluma Southbound Hwy 101 before Lakeville Hwy 116 exit, solo vehicle accident blocking the middle lane. #KCBSTraffic #Waze"
Sun Dec 29 21:11:23 +0000 2019,72898202,"#SanRamon Southbound Hwy 680 before Acosta Blvd., 2 car accident moved to the right shoulder. #KCBSTraffic #Waze"
Sun Dec 29 20:47:40 +0000 2019,72898202,"#Windsor Southbound Hwy 101 before Airport Blvd., solo vehicle spinout moved to the right shoulder. #KCBSTraffic"
Sun Dec 29 20:32:30 +0000 2019,72898202,"#SanLeandro Southbound Hwy 880 before Marina Blvd., car fire is on the right shoulder. #KCBSTraffic"
Sun Dec 29 20:23:22 +0000 2019,72898202,#BayBridge metering lights are off. #KCBSTraffic
Sun Dec 29 19:45:00 +0000 2019,72898202,"Just as they do every year, volunteers for the Bridgewatch Angels spent their Christmas day on the #GoldenGateBridge watching for anyone showing signs that they might be considering suicide. @KCBSRadio Keith Menconi has more...."
Sun Dec 29 19:39:22 +0000 2019,72898202,"#DalyCity Southbound Hwy 280 before Eastmoor Ave., CHP is reporting a table and debris are blocking multiple lanes. #KCBSTraffic"
Sun Dec 29 19:10:26 +0000 2019,72898202,"#Lafayette Westbound Hwy 24 before Pleasant Hill Rd., car fire blocking the right lane. Traffic is driving at the limit. #KCBSTraffic"
Sun Dec 29 18:53:55 +0000 2019,72898202,"#LosAltos Southbound Hwy 17 before The Cats, there's a car fire blocking the right lane. Traffic is backed up 1/2 mile from the scene. #KCBSTraffic"
